condition,global_map50,global_map50_95,global_precision,global_recall,spec_map50,spec_map50_95,gain_map50,specialist_map50,specialist_map50_95
city_day,0.5638,0.3596,0.7357,0.4183,0.6507,0.4349,0.0869,0.6507,0.4349
city_night,0.5465,0.3337,0.7503,0.4861,0.6891,0.4311,0.1426,0.6891,0.4311
highway_day,0.4761,0.2988,0.6433,0.4419,0.7321,0.4872,0.256,0.7321,0.4872
highway_night,0.5145,0.3153,0.7343,0.4516,0.7618,0.522,0.2473,0.7618,0.522
residential,0.6666,0.4204,0.7904,0.5455,0.7838,0.5247,0.1172,0.7838,0.5247
