strategy,fps,city_day_map50,city_day_map5095,city_night_map50,city_night_map5095,highway_day_map50,highway_day_map5095,highway_night_map50,highway_night_map5095,residential_map50,residential_map5095,overall_map50,overall_map5095
Global Distilled,159.7,0.517,0.3327,0.5651,0.3491,0.4851,0.3005,0.6062,0.3814,0.6552,0.4079,0.4809,0.3029
Global Large,134.7,0.6014,0.3909,0.6046,0.3775,0.5305,0.3232,0.6103,0.3863,0.673,0.4385,0.5283,0.3392
Global XLarge,77.0,0.5926,0.3798,0.7093,0.4592,0.6892,0.439,0.6889,0.4407,0.7433,0.4977,0.6262,0.3954
Hard Routing,159.6,0.6292,0.4287,0.7284,0.4751,0.7151,0.4925,0.7561,0.5229,0.7807,0.5326,0.6859,0.4771
DAFT k=1,84.6,0.6292,0.4287,0.7284,0.4751,0.7151,0.4925,0.7561,0.5229,0.7807,0.5326,0.6819,0.4686
